client_id,key_info
031500259088,A800658008;45357165;10;0;
031500262499,A800658016;45360576;10;0;
031500268685,A800658058;45366761;10;0;
031500212770,A800658074;45310842;10;0;
031500268177,A800658066;45366253;10;0;
031500268177,0358946156;45366253;20;0;
031500268685,0358946158;45366761;20;0;
031500212770,0358946157;45310842;20;0;
031500267451,0358946187;45365528;20;0;
121200468473,0358946733;39832912;20;0;
121200468473,A800665631;39832912;10;0;
121200468480,0358948582;39832919;20;0;
121300223355,0358948586;41524681;20;0;
121300223347,0358948599;41524673;20;0;
120900174086,0358948610;825067529;20;0;
280200038365,0358948660;35638366;20;0;
120412228785,0358948663;36796048;20;0;
280100132992,0358948683;41032296;20;0;
121200468480,A800686190;39832919;10;0;
120900174099,0358948691;825067542;20;0;
121300223355,A800686239;41524681;10;0;
121300223347,A800686433;41524673;10;0;
120900174086,A800686548;825067529;10;0;
121500103212,0358948751;46003261;20;0;
280200038365,A800687081;35638366;10;0;
120900174106,0358948793;825067549;20;0;
121200468502,0358948805;39832941;20;0;
280100132992,A800687293;41032296;10;0;
120900174099,A800687366;825067542;10;0;
280100133032,0358948856;41032336;20;0;
120412228815,0358948869;36796078;20;0;
120412228785,A800687984;36796048;10;0;
121500103212,A800688207;46003261;10;0;
121200468513,0358948894;39832952;20;0;
280100133050,0358948914;41032353;20;0;
120900174106,A800688728;825067549;10;0;
120800255098,0358948942;42636372;20;0;
120900174126,0358948968;825067569;20;0;
280100133032,A800689334;41032336;10;0;
121200468513,A800689758;39832952;10;0;
120412228815,A800689740;36796078;10;0;
120600176622,0358949063;820156371;20;0;
121400145616,0358949064;38144665;20;0;
280100133050,A800690131;41032353;10;0;
120900174136,0358949080;825067579;20;0;
120800255098,A800690521;42636372;10;0;
280100133113,0358949102;41032417;20;0;
120900174126,A800690759;825067569;10;0;
120412228913,0358949118;36796176;20;0;
280100133122,0358949121;41032426;20;0;
120200188659,0358949175;819683695;20;0;
116300045446,0358949174;12533426;20;0;
120600176622,A800691543;820156371;10;0;
121400145616,A800691585;38144665;10;0;
120412228952,0358949199;36796215;20;0;
280100133137,0358949200;41032440;20;0;
120900174136,A800691797;825067579;10;0;
120412228787,0358949213;36796050;20;0;
121300223358,0358949231;41524685;20;0;
280100133113,A800691991;41032417;10;0;
120412228913,A800692052;36796176;10;0;
120600176605,0358949244;820156353;20;0;
121000190542,0358949250;41406575;20;0;
280100133143,0358949281;41032447;20;0;
116300045446,A800692840;12533426;10;0;
120200188659,A800692866;819683695;10;0;
120412228952,A800693197;36796215;10;0;
120600176607,0358949306;820156356;20;0;
280100133137,A800693309;41032440;10;0;
120412228787,A800693977;36796050;10;0;
280100133147,0358949335;41032450;20;0;
120600176637,0358949347;820156386;20;0;
121300223358,A800694672;41524685;10;0;
120600176605,A800694981;820156353;10;0;
121000190542,A800695026;41406575;10;0;
121200468542,0358949365;39832981;20;0;
120412228827,0358949395;36796090;20;0;
280100133156,0358949406;41032459;20;0;
120412228989,0358949404;36796251;20;0;
120600176607,A800696006;820156356;10;0;
120412228990,0358949416;36796252;20;0;
120412228943,0358949417;36796206;20;0;
280100133147,A800696292;41032450;10;0;
120800255099,0358949434;42636373;20;0;
120600176637,A800696488;820156386;10;0;
121200468542,A800696658;39832981;10;0;
280100133180,0358949482;41032483;20;0;
280100133192,0358949514;41032496;20;0;
121000190545,0358949516;41406577;20;0;
120900174128,0358949517;825067571;20;0;
280100133188,0358949524;41032491;20;0;
120412228827,A800697052;36796090;10;0;
280100133195,0358949548;41032498;20;0;
280100133156,A800697183;41032459;10;0;
120412228990,A800697206;36796252;10;0;
120412228943,A800697329;36796206;10;0;
120412228778,0358949572;36796041;20;0;
120800255099,A800697549;42636373;10;0;
031500268517,0358949591;45366593;20;0;
120412228927,0358949643;36796189;20;0;
280100133201,0358949658;41032505;20;0;
280100133180,A800697939;41032483;10;0;
120900174149,0358949684;825067592;20;0;
280100133192,A800698058;41032496;10;0;
280100133202,0358949699;41032506;20;0;
121000190545,A800698105;41406577;10;0;
120900174128,A800698113;825067571;10;0;
280100133188,A800698147;41032491;10;0;
280100133207,0358949716;41032510;20;0;
280100133195,A800698341;41032498;10;0;
120412228978,0358949732;36796240;20;0;
280100133218,0358949740;41032521;20;0;
120412228778,A800698545;36796041;10;0;
031500268517,A800698579;45366593;10;0;
121200468486,A800698731;39832925;10;0;
120900174146,A800698804;825067589;10;0;
280100133219,0358949816;41032522;20;0;
121200468555,0358949815;39832993;20;0;
